Unnamed: 0,Full_Name,Lat,Long,YeStart,YeEnd,Funestus,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,max_1,max_2,max_3,max_4,max_5,max_6,max_7,max_8,max_9,max_10,max_11,max_12
1142,Kedjom Ketingah,6.0393,10.3261,1999,1999,1.0,12.074639892578151,13.902703857421901,13.372338867187526,16.487207031250026,15.713708496093776,14.668908691406276,14.523675537109401,14.558251953125026,14.061090087890651,14.060937500000026,13.930169677734401,12.191064453125026,31.607629394531273,32.5196472167969,33.48430786132815,31.676812744140648,28.104974365234398,26.602685546875023,24.93395385742189,24.792260742187523,24.897760009765648,25.44051513671877,27.30770263671877,29.270989990234398
1143,Backyit,5.8345,10.3444,2010,2011,1.0,14.235986328125026,15.516351318359401,15.817041015625026,16.752587890625026,16.318719482421898,15.571527099609401,15.032495117187526,15.055718994140651,15.418634033203151,14.811730957031276,14.700708007812526,13.135614013671901,32.411767578125016,33.154443359375016,32.709680175781266,32.521813964843766,27.37484130859377,25.924249267578148,25.00744018554689,25.424462890625023,25.734063720703148,25.18346557617189,26.857873535156273,29.186730957031273
1144,Bamessing,5.968,10.415999999999999,2003,2004,0.0,11.792657470703151,14.186730957031276,14.399835205078151,15.207116699218776,15.275811767578151,14.118737792968776,12.944696044921901,14.424279785156276,13.792413330078151,14.822534179687526,13.075860595703151,11.882257080078151,30.739404296875023,32.7169128417969,32.37188110351565,31.48006591796877,26.79525146484377,25.218560791015648,24.974786376953148,25.013970947265648,25.625390625000023,26.261224365234398,27.23812255859377,29.676080322265648
1145,Mbafuh,5.8877,10.5308,2010,2011,1.0,14.549279785156276,15.401513671875026,16.198114013671898,17.510430908203148,16.984246826171898,16.248834228515648,15.628106689453151,15.797570800781276,15.826104736328151,15.414666748046901,15.243157958984401,13.109735107421901,32.9536071777344,33.7225280761719,33.1738220214844,33.070397949218766,27.84969482421877,26.256066894531273,25.492639160156273,26.15609130859377,26.199945068359398,25.662042236328148,27.307794189453148,29.757379150390648
1146,Mbapishi,5.8501,10.4414,2010,2011,0.0,14.235986328125026,15.516351318359401,15.817041015625026,16.752587890625026,16.318719482421898,15.571527099609401,15.032495117187526,15.055718994140651,15.418634033203151,14.811730957031276,14.700708007812526,13.135614013671901,32.411767578125016,33.154443359375016,32.709680175781266,32.521813964843766,27.37484130859377,25.924249267578148,25.00744018554689,25.424462890625023,25.734063720703148,25.18346557617189,26.857873535156273,29.186730957031273
1147,Bamessing,5.632999999999999,10.232000000000001,2011,2011,0.0,14.960748291015651,14.973077392578151,15.963800048828151,17.094903564453148,16.203729248046898,15.260949707031276,14.595117187500026,14.625726318359401,14.823297119140651,14.189385986328151,14.492639160156276,13.233209228515651,31.575708007812523,32.64641723632815,31.611840820312523,31.775598144531273,27.026086425781273,24.907159423828148,24.091027832031273,24.210168457031273,24.789758300781273,24.424462890625023,25.765893554687523,28.474114990234398
1148,Ndjinga Batoukop,5.4826,10.4799,1998,2007,0.0,15.422265625000026,16.389459228515648,16.375024414062526,17.128076171875026,15.808496093750026,15.613824462890651,15.387750244140651,16.084344482421898,15.512170410156276,15.399468994140651,14.157525634765651,14.188134765625026,32.129357910156266,32.794274902343766,31.50328979492189,29.27132568359377,28.47619018554689,26.39119873046877,24.987329101562523,25.24889526367189,25.744775390625023,26.032861328125023,27.311975097656273,29.865869140625023
1149,Fokoue,5.35,10.117,2004,2005,0.0,14.698114013671901,13.799249267578151,14.458856201171901,16.099328613281273,15.701409912109401,14.145928955078151,14.837426757812526,15.503778076171901,15.032647705078151,15.237542724609401,14.974114990234401,14.043237304687526,29.737847900390648,32.25847778320315,31.706842041015648,28.08776245117189,28.291925048828148,25.112268066406273,24.309320068359398,24.489434814453148,25.235742187500023,25.814996337890648,26.31649169921877,28.94518432617189
1150,Ngwatta,5.2988,9.911,2006,2006,1.0,13.834497070312526,15.929956054687526,17.224664306640648,18.324975585937523,16.244470214843773,16.526879882812526,16.981866455078148,16.271936035156273,17.367913818359398,16.924829101562526,15.909967041015651,14.653497314453151,31.30745849609377,30.261529541015648,30.003930664062523,28.382806396484398,28.705041503906273,26.268090820312523,26.23668823242189,25.914819335937523,26.66951904296877,26.787805175781273,28.040063476562523,28.707086181640648
1151,Santchou,5.301,9.9,1997,2006,1.0,13.834497070312526,15.929956054687526,17.224664306640648,18.324975585937523,16.244470214843773,16.526879882812526,16.981866455078148,16.271936035156273,17.367913818359398,16.924829101562526,15.909967041015651,14.653497314453151,31.30745849609377,30.261529541015648,30.003930664062523,28.382806396484398,28.705041503906273,26.268090820312523,26.23668823242189,25.914819335937523,26.66951904296877,26.787805175781273,28.040063476562523,28.707086181640648
1152,Bamendi,5.4793,10.457,1998,2007,0.0,15.422265625000026,16.389459228515648,16.375024414062526,17.128076171875026,15.808496093750026,15.613824462890651,15.387750244140651,16.084344482421898,15.512170410156276,15.399468994140651,14.157525634765651,14.188134765625026,32.129357910156266,32.794274902343766,31.50328979492189,29.27132568359377,28.47619018554689,26.39119873046877,24.987329101562523,25.24889526367189,25.744775390625023,26.032861328125023,27.311975097656273,29.865869140625023
1153,Folap,5.8308,10.904000000000002,1998,2007,1.0,17.219689941406273,18.504327392578148,18.760278320312523,19.192926025390648,18.406182861328148,18.156549072265648,17.318139648437526,17.174890136718773,17.180902099609398,17.795037841796898,14.963250732421901,14.887170410156276,33.74797973632815,34.09990844726565,33.62944946289065,31.881646728515648,30.131036376953148,28.241357421875023,26.558282470703148,26.778588867187523,27.26964721679689,27.650292968750023,28.834619140625023,30.694360351562523
1154,Koutaba,5.6511,10.7612,1998,2007,0.0,16.962030029296898,18.100610351562523,18.303491210937523,18.605249023437523,17.635949707031273,17.747003173828148,17.390161132812526,17.835412597656273,17.283563232421898,17.337731933593773,15.371667480468776,15.042504882812526,33.688256835937516,33.846276855468766,32.5203796386719,30.798303222656273,29.210595703125023,27.627954101562523,26.573785400390648,27.123742675781273,27.260766601562523,27.419732666015648,28.564202880859398,30.862298583984398
1155,Magba,5.9658,11.2253,1998,2007,1.0,19.391259765625023,19.86290893554689,20.582177734375023,20.929833984375023,19.929193115234398,19.595239257812523,19.02697143554689,18.899957275390648,18.791101074218773,19.265100097656273,17.548883056640648,17.011712646484398,36.12978515625002,36.30312500000002,34.714685058593766,33.40496215820315,31.788232421875023,29.657891845703148,28.286401367187523,28.153833007812523,28.744317626953148,29.235498046875023,30.466699218750023,32.589562988281266
1156,Makoutchietoum,5.6103,10.6067,2005,2009,0.0,15.651971435546901,15.357049560546901,17.721490478515648,17.052270507812526,17.092523193359398,16.519158935546898,16.553979492187526,16.270623779296898,16.555871582031273,16.325830078125026,16.367608642578148,15.389398193359401,30.731683349609398,32.31560668945315,33.09038696289065,28.875207519531273,27.916955566406273,26.125939941406273,26.14388427734377,25.809259033203148,26.462915039062523,26.922631835937523,30.160943603515648,30.284967041015648
1157,Malantouen,5.733,11.1,2003,2003,0.0,16.658990478515648,16.808068847656273,19.462854003906273,18.753503417968773,18.969537353515648,18.013909912109398,18.083428955078148,17.655145263671898,17.158502197265648,17.472741699218773,16.677239990234398,15.658837890625026,33.1103454589844,35.0031677246094,33.00322875976565,32.7067810058594,29.83141479492189,27.677453613281273,27.702905273437523,26.970025634765648,28.229638671875023,27.619866943359398,29.183129882812523,32.068627929687516
1158,Manchoutvi,5.88,11.1136,1998,2007,1.0,19.660119628906273,20.519830322265648,20.459008789062523,20.833825683593773,19.797631835937523,19.478967285156273,19.053735351562523,18.938409423828148,18.512658691406273,19.384729003906273,17.043145751953148,16.689385986328148,35.93013916015627,36.11892089843752,34.4582458496094,33.06096801757815,31.856927490234398,29.733361816406273,28.11998901367189,28.295861816406273,28.581536865234398,29.17684326171877,30.177636718750023,32.4711853027344
1159,Manki II,5.8511,11.0775,1998,2007,1.0,18.217980957031273,19.55138549804689,19.878625488281273,20.011651611328148,19.067437744140648,18.866967773437523,17.997399902343773,17.865930175781273,17.763818359375023,18.522363281250023,15.828881835937526,15.525476074218776,34.800256347656266,35.0828796386719,34.370507812500016,32.5737243652344,31.379785156250023,29.180322265625023,27.54183349609377,27.504327392578148,27.93200073242189,28.511651611328148,29.573236083984398,31.459008789062523
1160,Mayouom,5.8361,11.0008,1998,2007,1.0,18.217980957031273,19.55138549804689,19.878625488281273,20.011651611328148,19.067437744140648,18.866967773437523,17.997399902343773,17.865930175781273,17.763818359375023,18.522363281250023,15.828881835937526,15.525476074218776,34.800256347656266,35.0828796386719,34.370507812500016,32.5737243652344,31.379785156250023,29.180322265625023,27.54183349609377,27.504327392578148,27.93200073242189,28.511651611328148,29.573236083984398,31.459008789062523
1161,Ngoundoup,5.6246,10.7342,1998,2007,0.0,16.962030029296898,18.100610351562523,18.303491210937523,18.605249023437523,17.635949707031273,17.747003173828148,17.390161132812526,17.835412597656273,17.283563232421898,17.337731933593773,15.371667480468776,15.042504882812526,33.688256835937516,33.846276855468766,32.5203796386719,30.798303222656273,29.210595703125023,27.627954101562523,26.573785400390648,27.123742675781273,27.260766601562523,27.419732666015648,28.564202880859398,30.862298583984398
1162,Ngounso,5.943,11.2044,1998,2007,1.0,19.660119628906273,20.519830322265648,20.459008789062523,20.833825683593773,19.797631835937523,19.478967285156273,19.053735351562523,18.938409423828148,18.512658691406273,19.384729003906273,17.043145751953148,16.689385986328148,35.93013916015627,36.11892089843752,34.4582458496094,33.06096801757815,31.856927490234398,29.733361816406273,28.11998901367189,28.295861816406273,28.581536865234398,29.17684326171877,30.177636718750023,32.4711853027344
1163,Njiloum II,5.7946,10.8818,1998,2007,1.0,17.504144287109398,18.714562988281273,18.830224609375023,19.223809814453148,18.478997802734398,18.225640869140648,17.873071289062523,17.930871582031273,17.437219238281273,17.986993408203148,15.176446533203151,14.849603271484401,33.89776000976565,34.1579528808594,33.302758789062516,31.73424682617189,30.082452392578148,28.333184814453148,26.525140380859398,27.249993896484398,27.324151611328148,27.870416259765648,28.831018066406273,30.95763549804689
1164,Essong,2.5188,12.6599,2005,2006,1.0,16.095544433593773,19.800927734375023,19.83629760742189,20.27355346679689,19.465539550781273,19.634698486328148,18.866052246093773,19.230249023437523,19.646752929687523,19.07262573242189,19.296716308593773,18.862115478515648,32.76677856445315,33.39470825195315,33.482202148437516,31.781945800781273,30.69835815429689,29.733209228515648,30.027154541015648,30.31795654296877,29.822045898437523,29.320794677734398,30.327386474609398,30.989892578125023
1165,Ando'o,3.0048,11.3692,1998,2007,0.0,18.306390380859398,19.705041503906273,19.512292480468773,19.441247558593773,18.284753417968773,18.020013427734398,18.436975097656273,18.999414062500023,18.887353515625023,19.125512695312523,18.951379394531273,19.613214111328148,30.766900634765648,31.492883300781273,30.447045898437523,30.28527221679689,29.358087158203148,30.035363769531273,28.65148315429689,29.415429687500023,29.23034057617189,29.863977050781273,29.716302490234398,30.21370849609377
1166,Ando'o kribi,2.8812,11.0975,1998,2007,0.0,18.370538330078148,19.781182861328148,19.929406738281273,19.680505371093773,18.628839111328148,18.635064697265648,18.657250976562523,19.001794433593773,19.047265625000023,19.173059082031273,19.103997802734398,19.738610839843773,30.478692626953148,31.78283081054689,30.048822021484398,30.031427001953148,29.584985351562523,30.116754150390648,28.31575927734377,28.507501220703148,29.234185791015648,29.92052612304689,29.88118896484377,30.343499755859398
1167,Biboulemam,2.8796,11.2587,1998,2007,0.0,18.404290771484398,19.849847412109398,19.938378906250023,19.67955932617189,18.460870361328148,18.379144287109398,18.587945556640648,19.022607421875023,19.015863037109398,19.173760986328148,18.967187500000023,19.736535644531273,30.835443115234398,31.670068359375023,30.462365722656273,30.37023315429689,29.610894775390648,30.12389526367189,28.602258300781273,29.11531982421877,29.36583862304689,29.966119384765648,29.702355957031273,30.367486572265648
1168,Bissok,2.948,11.1801,1998,2007,0.0,18.301721191406273,19.687280273437523,19.748498535156273,19.591241455078148,18.522637939453148,18.224938964843773,18.456872558593773,18.832604980468773,18.996881103515648,19.160668945312523,18.970666503906273,19.759912109375023,30.498986816406273,31.59557495117189,30.071435546875023,30.060052490234398,29.46126708984377,30.034936523437523,28.256250000000023,28.549310302734398,29.014611816406273,29.92638549804689,29.677697753906273,30.239739990234398
1169,Ebanga Ngoulou,3.1335,11.4143,1998,2007,0.0,18.406762695312523,19.824945068359398,19.623345947265648,19.436090087890648,18.223168945312523,17.896936035156273,18.512048339843773,19.001397705078148,18.88732299804689,19.243310546875023,19.015710449218773,19.565728759765648,30.78572998046877,31.46593627929689,30.57262573242189,30.190911865234398,29.53280029296877,30.12389526367189,28.669610595703148,29.268609619140648,29.132318115234398,29.66488037109377,29.671075439453148,30.172387695312523
1170,Engom II,2.8578,11.0489,1998,2007,0.0,18.370538330078148,19.781182861328148,19.929406738281273,19.680505371093773,18.628839111328148,18.635064697265648,18.657250976562523,19.001794433593773,19.047265625000023,19.173059082031273,19.103997802734398,19.738610839843773,30.478692626953148,31.78283081054689,30.048822021484398,30.031427001953148,29.584985351562523,30.116754150390648,28.31575927734377,28.507501220703148,29.234185791015648,29.92052612304689,29.88118896484377,30.343499755859398
1171,Essessana,3.0677,11.4018,1998,2007,0.0,18.406762695312523,19.824945068359398,19.623345947265648,19.436090087890648,18.223168945312523,17.896936035156273,18.512048339843773,19.001397705078148,18.88732299804689,19.243310546875023,19.015710449218773,19.565728759765648,30.78572998046877,31.46593627929689,30.57262573242189,30.190911865234398,29.53280029296877,30.12389526367189,28.669610595703148,29.268609619140648,29.132318115234398,29.66488037109377,29.671075439453148,30.172387695312523
1172,Ke'eke,2.9163,11.2733,1998,2007,1.0,18.404290771484398,19.849847412109398,19.938378906250023,19.67955932617189,18.460870361328148,18.379144287109398,18.587945556640648,19.022607421875023,19.015863037109398,19.173760986328148,18.967187500000023,19.736535644531273,30.835443115234398,31.670068359375023,30.462365722656273,30.37023315429689,29.610894775390648,30.12389526367189,28.602258300781273,29.11531982421877,29.36583862304689,29.966119384765648,29.702355957031273,30.367486572265648
1173,Koungoulou,2.9378,11.4063,1998,2007,0.0,18.306390380859398,19.705041503906273,19.512292480468773,19.441247558593773,18.284753417968773,18.020013427734398,18.436975097656273,18.999414062500023,18.887353515625023,19.125512695312523,18.951379394531273,19.613214111328148,30.766900634765648,31.492883300781273,30.447045898437523,30.28527221679689,29.358087158203148,30.035363769531273,28.65148315429689,29.415429687500023,29.23034057617189,29.863977050781273,29.716302490234398,30.21370849609377
1174,Mbondo,2.9181,11.3308,1998,2007,1.0,18.404290771484398,19.849847412109398,19.938378906250023,19.67955932617189,18.460870361328148,18.379144287109398,18.587945556640648,19.022607421875023,19.015863037109398,19.173760986328148,18.967187500000023,19.736535644531273,30.835443115234398,31.670068359375023,30.462365722656273,30.37023315429689,29.610894775390648,30.12389526367189,28.602258300781273,29.11531982421877,29.36583862304689,29.966119384765648,29.702355957031273,30.367486572265648
1175,Medjab II,2.8583,10.9876,1998,2007,0.0,18.370538330078148,19.781182861328148,19.929406738281273,19.680505371093773,18.628839111328148,18.635064697265648,18.657250976562523,19.001794433593773,19.047265625000023,19.173059082031273,19.103997802734398,19.738610839843773,30.478692626953148,31.78283081054689,30.048822021484398,30.031427001953148,29.584985351562523,30.116754150390648,28.31575927734377,28.507501220703148,29.234185791015648,29.92052612304689,29.88118896484377,30.343499755859398
